asi_slno,raw_text,page
18,Sculptures of four Hindu deities one on Kurisarai Gaya each side of an oblong isolated boulder to the east of the Kauwadol Hill.,12
19,"The whole of the ancient ruins on which Kurisarai Gaya there are a colossal statute of Buddha, a few loose sculptures and thirteen sand stone pillars.",12
20,The area generally known as ‘Garh’ Kurkihar Gaya,12
21,Gopi Cave Barabar and Jehanabad Nagarjuni hills,12
22,"Karan Chaupar Cave Barabar and Jehanabad Nagarjuni hills,",12
23,Vadathika Cave Barabar and Jehanabad Nagarjuni hils,12
24,"Lomas Rishi Cave Barabar and Jehanabad Nagarjuni hils,",12
25,"Sudama Cave Barabar and Jehanabad Nagarjuni hils, 12 Sl.No. Name of the Monument / Site Locality District",12
26,"Vapiyaka Cave Barabar and Jehanabad Nagarjuni hils,",13
27,"Visva Jhopa Cave Barabar and Jehanabad Nagarjuni hils,",13
28,Ancient Buddhistic image and sculptures Ghejan Jehanabad collected underneath a shed,13
29,Ancient monolithic pillar known as Lat Lat Jehanabad,13
30,Tomb of Bakhtiar Khan Malik Sarai Kaimur,13
31,Temple of Mundeswari Devi Paura Kaimur,13
32,Kanhaiya ji ka mandir Bandarjhula Kishanganj,13
33,Remains of ancient fort or Pachrukhi Garh Balirajgarh Madhubani locally known as Raja Bali Ka Garh,13
34,Asokan Column Kolhua Muzaffarpur,13
35,Ancient mound Bargaon Nalanda,13
36,Tomb of Malik Ibrahim Bayu Bihar Sharif Nalanda,13
37,Ancient remains known as Garh Ghorakatora Nalanda,13
38,Statue of Buddha Jagdishpur Nalanda,13
39,"All mounds, structures and buildings Nalanda Nalanda enclosed in the acquired area",13
40,All ancient structures and other Rajgir Nalanda monuments,13
41,All ancient structures and all artificial Rajgir Nalanda ancient remains which are situated within a distance of half a mile of the said two ancient cities known as old and new Rajgriha,13
42,Walls of the two ancient cities known as Rajgir Nalanda old and new Rajgriha,13
43,The grove known as “Bulandibagh” Bulandipur Patna,13
44,The mound or stupa known as “Chhoti Chhoti Pahari Patna Paharai”,13
45,Sculpture and Images Datiana Patna,13
46,Supposed site of the Palace of Asoka Kumrahar Patna,13
47,Tomb of Shah Makhadum Daulat Maneri Maner Patna and Ibrahim Khan,13
48,Tank Maner Patna,13
49,Ancient Mound and ruined brick walls Maner Patna together with adjucent land comprising part of survey plot No. 608 & 611,13
50,Ancient Mound and ruined brick walls Maner Patna together with adjucent land comprising of survey plot No. 399,13
51,Mounds known as the five stupas or Paharidih Patna ”Panch Pahari”,13
52,"(i) Ablution Tank, Patna Patna (ii) Mir Ashraf’s Jama Mosque (iii) Pucca well",13
53,Remains of wooden foundations and Sandalpur Patna ancient Mauryan walls,13
54,Ashokan inscription on the Chandan Ashikpur Rohtas Shahid hill,13
55,Rohtasgarh fort Rohtasgarh Rohtas,13
56,Tomb of Hasan Shah Suri Sasaram Rohtas,13
57,Tomb of Sher Shah Suri Sasaram Rohtas,13
58,Three rock inscriptions (Adjacent to Tara Sasaram Rohtas 13 Sl.No. Name of the Monument / Site Locality District Chandi temple),13
59,Remains of Ancient city Manjhi Saran,14
60,"Ancestral Houseof Jiradei Siwan Dr. Rajendra Prasad, the First President of India",14
61,Jami mosque Hajipur Vaishali,14
62,Relic Stupa Harpur Basant Vaishali (Vaishali),14
63,Raja Vishal ka Garh Vaishali Vaishali,14
64,"Ruined fortress, Chankigarh Chanki West Champaran",14
65,Asoka column Lauriya West Nandangarh Champaran,14
66,Vedic burial mounds Lauriya West Nandangarh Champaran,14
67,Ruined fortress at Nandangarh and the Marhia West rampart of the fort Champaran,14
68,Vedic burial mounds Marhia West Champaran,14
69,Vedic burial mounds Pakri West Champaran,14
70,Ashoka column Rampurwa West Champaran 14,14
5,List of Centrally protected Monuments / Sites under the jurisdiction of Chhattisgarh (Raipur Circle) Sl.No. Name of the Monument / Site Locality District,15
1,The temple of Mahadeo including the Narainpur Balodabazar math of Bairagi and Mandap Bhatapara,15
2,The temple belonging to Mahant Laldass Narainpur Balodabazar of Sheorinarayan Bhatapara,15
3,Mahadeo Temple Bastar Bastar Jagdalpur,15
4,Narayan Temple Narainpal Bastar Jagdalpur,15
5,Old temple of Sita Devi and Sati pillar Deorbijla Bemetara,15
6,Ardhanariswara Image Bhairam Deo Gudi Bijapur,15
7,Ajmergarh fort Amanala Bilaspur,15
8,Temple Belpan Bilaspur,15
9,Temple (Ruined) Gatora Bilaspur,15
10,Malhar Fort Malhar Bilaspur,15
11,"Patalesvara Mahadeva temple including Malhar Bilaspur all ancient remains of other temples close by, together with various sculptures of Brahmanical, Buddhist and Jain pantheons and inscriptions, carved and un carved stones diiscovered",15
12,Kanthi Dewal Temple Ratanpur Bilaspur,15
13,The (fine) doorway built into the ruined Ratanpur Bilaspur wall beside the north gateway to the fort and the carved stones and images lying about within the boundaries of the village,15
14,Old ruined sand stone temple Deo-Baloda Durg,15
15,Group of temples known as the Rajiva- Rajim Gariaband Lochana or Rajim Temples,15
16,Sita Baree Rajim Gariaband,15
17,Temple of Ramchandra Rajim Gariaband,15
18,Arbhar temple Arbhar Janjgir Champa,15
19,Kashigarh fort Bawanbadi Janjgir Champa,15
20,Larger of the two temples (Old Vaishnava Janjgir Janjgir Champa Temple),15
21,Small Temple Janjgir Janjgir Champa,15
22,Brick Temple of Savari south of the Kharod Janjgir Champa village,15
23,Small Brick Temple North of the village Kharod Janjgir Champa,15
24,Kotmi fort Kotmi Janjgir Champa,15
25,Kotgarh Near Bargawan Janjgir Champa,15
26,Half ruined temple of Keshava Narayan Sheori Narayan Janjgir Champa,15
27,"The Sheorinarayana Temple, together Sheori Narayan Janjgir Champa with ruined brick temples in the same compound and the inscription built into the wall of the Chandrachuda temple 15 Sl.No. Name of the Monument / Site Locality District",15
